player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
pinsoth01,Theo Pinson,2020,24,SG,BRK,-0.6,NJN,33,365,11.7,11.1,11.7,37.0,5.5,5.3,2.0,3.2,-5.7,+2.4,-3.3,-0.1,4.6,1.2,22.4,22.0,16.9,2.9,12.1,7.6,2.2,0.9,80.5,22.9,108.3,40.0,18.8,93.8,51.6,10.3
nwabada01,David Nwaba,2020,27,SF,BRK,-0.6,NJN,20,268,8.6,13.4,13.8,62.7,1.1,6.0,3.1,1.1,-1.1,+6.9,+5.8,1.2,8.4,10.3,14.2,4.4,8.8,3.2,13.9,8.6,1.9,3.7,120.0,13.3,106.3,58.1,42.9,66.7,39.4,38.0
shumpim01,Iman Shumpert,2020,29,SG,BRK,-0.6,NJN,13,241,7.7,18.5,8.0,40.3,1.8,5.0,2.1,1.5,-4.4,+1.0,-3.5,-0.1,3.4,3.1,13.4,6.8,13.0,3.9,10.4,7.3,2.4,0.7,85.2,13.3,108.6,41.9,24.2,57.1,51.6,10.9
claxtni01,Nicolas Claxton,2020,20,PF,BRK,-0.6,NJN,15,187,6.0,12.5,12.6,57.7,3.0,8.4,1.7,1.7,-2.9,+1.0,-1.8,0.1,9.3,11.0,14.8,12.6,13.6,10.7,13.4,12.1,0.3,3.5,118.2,16.0,110.5,63.4,14.3,52.4,14.6,43.8
chiozch01,Chris Chiozza,2020,24,PG,BRK,-0.6,NJN,11,126,4.0,11.5,16.1,62.1,5.6,5.6,1.4,2.3,+2.9,-3.2,-0.3,0.2,11.7,13.7,17.9,24.5,14.8,5.0,11.2,8.2,1.9,0.0,120.9,18.8,110.0,55.0,44.0,100.0,55.6,4.4
anderju01,Justin Anderson,2020,26,SF,BRK,-0.6,NJN,3,17,0.5,5.7,6.3,21.8,0.0,4.2,2.1,0.0,-10.8,+6.0,-4.8,0.0,-3.8,-8.2,16.9,0.0,0.0,0.0,11.8,6.1,0.0,4.9,50.1,15.0,110.4,33.3,0.0,50.0,50.0,33.3
martije02,Jeremiah Martin,2020,23,PG,BRK,-0.6,NJN,3,16,0.5,5.3,4.4,20.0,4.4,4.4,4.4,0.0,-7.4,+5.4,-2.0,0.0,5.6,5.0,13.1,16.5,0.0,0.0,12.6,6.4,3.0,5.2,66.3,12.9,103.6,25.0,0.0,,20.0,0.0
ellenhe01,Henry Ellenson,2020,23,PF,BRK,-0.6,NJN,5,15,0.5,3.0,4.7,14.3,2.4,14.2,0.0,0.0,-6.2,+17.4,+11.1,0.1,1.7,-2.5,19.5,8.8,0.0,14.1,26.8,20.6,0.0,0.0,59.6,19.7,109.8,33.3,0.0,,57.1,0.0
lavinza01,Zach LaVine,2020,24,SG,CHI,-3.1,CHI,60,2085,66.5,34.8,26.5,56.8,4.4,5.0,2.0,3.6,+1.2,-1.3,-0.1,2.8,13.5,12.6,31.7,21.7,13.3,2.1,13.8,7.7,2.0,1.3,106.5,30.7,110.4,49.7,38.0,80.2,40.4,27.9
satorto01,Tomáš Satoranský,2020,28,PG,CHI,-3.1,CHI,65,1878,59.9,28.9,12.4,53.3,6.8,4.9,1.7,2.5,+0.0,+0.2,+0.2,2.9,9.6,9.7,16.7,27.1,17.7,4.3,11.0,7.5,2.1,0.4,110.6,18.4,111.6,49.1,32.2,87.6,36.1,22.0
whiteco01,Coby White,2020,19,SG,CHI,-3.1,CHI,65,1674,53.4,25.8,18.5,50.6,3.8,5.0,1.2,2.4,-0.9,-1.5,-2.4,0.3,8.7,7.4,24.4,16.5,11.4,1.8,14.0,7.6,1.4,0.3,99.7,23.6,112.3,43.0,35.4,79.1,47.5,16.3
youngth01,Thaddeus Young,2020,31,PF,CHI,-3.1,CHI,64,1591,50.7,24.9,15.0,52.1,2.7,7.2,2.6,2.3,-2.8,+0.8,-2.0,0.6,8.9,9.6,19.7,11.3,13.9,6.2,16.1,10.9,2.8,1.4,100.7,19.6,108.1,50.1,35.6,58.3,36.9,12.0
markkla01,Lauri Markkanen,2020,22,PF,CHI,-3.1,CHI,50,1492,47.6,29.8,17.8,56.0,1.8,7.6,1.6,2.0,-0.9,-2.2,-3.2,-0.3,10.4,10.4,21.1,7.6,11.0,4.2,19.7,11.6,1.4,1.5,107.6,20.2,110.4,51.8,34.4,82.4,53.6,25.9
dunnkr01,Kris Dunn,2020,25,PG,CHI,-3.1,CHI,51,1269,40.5,24.9,10.6,51.0,4.9,5.3,3.4,1.9,-1.7,+4.2,+2.5,3.4,8.1,8.5,14.6,19.4,15.7,1.9,14.9,8.1,3.8,1.3,104.0,15.3,106.0,53.5,25.9,74.1,32.7,15.8
cartewe01,Wendell Carter,2020,20,C,CHI,-3.1,CHI,43,1256,40.1,29.2,13.9,59.0,1.5,11.6,2.0,2.1,-2.8,+0.1,-2.7,0.0,10.0,10.6,16.4,6.0,14.9,11.6,24.6,17.8,1.3,2.7,115.4,17.0,108.5,56.4,20.7,73.7,8.5,44.3
